work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,Senior,FT,Data Engineer,255475,USD,255475,US,0,US,M
2025,Senior,FT,Platform Engineer,155000,USD,155000,US,0,US,M
2025,Mid,FT,Analytics Engineer,101333,USD,101333,US,0,US,M
2024,Mid,FT,Machine Learning Scientist,143100,USD,143100,US,0,US,M
2024,Senior,FT,Data Manager,122116,USD,122116,CA,0,CA,M
2024,Senior,FT,Analytics Engineer,70000,GBP,87500,GB,100,GB,M
2025,Mid,FT,Manager,218900,USD,218900,US,0,US,M
2025,Senior,FT,Data Scientist,338000,USD,338000,US,0,US,M
2024,Senior,FT,Solutions Engineer,77000,USD,77000,US,100,US,M
2024,Senior,FT,Manager,167500,USD,167500,US,0,US,M
2024,Senior,FT,Software Engineer,165000,USD,165000,US,100,US,M
2024,Entry,FT,Analyst,28500,GBP,35625,GB,0,GB,M
2024,Mid,FT,Business Analyst,116000,USD,116000,US,100,US,M
2025,Mid,FT,Machine Learning Scientist,116000,USD,116000,US,0,US,M
2024,Mid,FT,Machine Learning Scientist,170000,USD,170000,US,0,US,M
2024,Mid,FT,Data Scientist,140300,USD,140300,US,0,US,M
2024,Mid,FT,Data Analyst,154500,USD,154500,US,100,US,M
2024,Senior,FT,Data Engineer,136000,USD,136000,US,100,US,M
2023,Senior,FT,Data Scientist,252000,USD,252000,US,0,US,M
2024,Senior,FT,Data Engineer,170040,USD,170040,US,0,US,M
2025,Senior,FT,Applied Scientist,227700,USD,227700,US,100,US,M
2024,Senior,FT,Analytics Lead,142500,USD,142500,US,0,US,M
2023,Senior,FT,Data Scientist,185000,USD,185000,CA,0,CA,M
2025,Mid,FT,Manager,78600,USD,78600,CA,0,CA,M
2024,Entry,FT,Data Analyst,77728,USD,77728,US,0,US,M
2024,Entry,FT,Data Analyst,68000,EUR,75555,NL,0,NL,M
2024,Mid,FT,Software Engineer,115500,USD,115500,US,0,US,M
2025,Senior,FT,Consultant,130000,USD,130000,US,0,US,M
2024,Senior,FT,Data Engineer,113500,USD,113500,US,100,US,M
2024,Mid,FT,Business Intelligence,126342,USD,126342,US,0,US,M
2024,Mid,FT,Product Manager,161616,USD,161616,US,0,US,M
2025,Mid,FT,Engineer,148350,USD,148350,US,0,US,M
2025,Senior,FT,Engineer,134400,USD,134400,US,0,US,M
2024,Senior,FT,Data Analyst,113000,USD,113000,FR,0,FR,M
2025,Entry,FT,Data Analyst,93288,USD,93288,US,0,US,M
2024,Mid,FT,Data Analyst,176000,USD,176000,US,0,US,M
2023,Executive,FT,Applied Machine Learning Engineer,225000,USD,225000,US,100,US,M
2023,Entry,FT,Data Analyst,80000,USD,80000,US,100,US,M
2024,Mid,FT,Business Analyst,90000,USD,90000,US,100,US,M
2024,Senior,FT,Software Developer,250600,USD,250600,US,0,US,M
2025,Senior,FT,Architect,135000,USD,135000,US,0,US,M
2023,Senior,FT,Machine Learning Engineer,230000,USD,230000,US,0,US,M
2023,Senior,FT,Business Intelligence Engineer,241300,USD,241300,US,0,US,L
2025,Senior,FT,Data Analyst,170000,USD,170000,US,100,US,M
2024,Senior,FT,Engineer,172400,USD,172400,US,0,US,M
2024,Senior,FT,Analytics Engineer,160000,USD,160000,AU,0,AU,M
2024,Mid,FT,Engineer,60400,USD,60400,US,0,US,M
2024,Senior,FT,QA Engineer,107100,USD,107100,US,0,US,M
2024,Senior,FT,Data Analyst,108200,USD,108200,US,100,US,M
2025,Senior,FT,Applied Scientist,295000,USD,295000,US,100,US,M
2024,Mid,FT,Data Product Manager,120000,USD,120000,US,0,US,M
2025,Senior,FT,Data Architect,106900,USD,106900,US,100,US,M
2025,Entry,FT,Quantitative Researcher,100000,USD,100000,US,0,US,M
2024,Senior,FT,Business Intelligence,134900,USD,134900,US,0,US,M
2025,Senior,FT,Data Scientist,293800,USD,293800,US,0,US,M
2024,Senior,FT,Machine Learning Engineer,212000,USD,212000,DE,0,DE,M
2024,Mid,FT,Analyst,164200,USD,164200,US,100,US,M
2023,Senior,FT,Machine Learning Engineer,165000,USD,165000,US,100,US,M
2023,Mid,FT,Data Engineer,275000,USD,275000,CA,0,CA,M
2025,Senior,FT,Data Scientist,281000,USD,281000,US,0,US,M
2025,Senior,FT,Manager,83088,USD,83088,US,100,US,M
2024,Senior,FT,Platform Engineer,290950,USD,290950,US,0,US,M
